Countries,2014,2015,2016,2017,2018,2019
Albania,,,1,2,,1
Algeria,,,,1,3,
Antigua,,,,,,3
Argentina,,,,1,,
Australia,,,,,1,2
Austria,,,,1,,
Azerbaijan,,2,1,,,1
Bangladesh,,,1,1,1,1
Barbados,,,,,1,
Belgium,,,2,,1,2
Bhutan,,,,,1,
Bulgaria,1,,2,1,,2
Canada,,,,1,,
Cape Verde,1,1,,7,,
China,,,,1,,2
Croatia,,,1,1,,2
Cuba,,1,2,,3,
Cyprus,,2,10,2,7,9
Czech Republic,,,2,,,
Denmark,,1,,1,,2
Dominican Republic,,,,1,,
Egypt,,6,,5,12,11
Faroe Islands,,,,,1,
France,,,7,8,4,3
Germany,,,,,1,1
Ghana,,,1,1,,
Greece,1,,9,8,2,5
Guernsey,,,1,,,
Holland,,,,,,3
Hungary,,,1,2,1,1
India,,2,5,1,5,2
Indonesia,,2,2,1,6,3
Iran,,1,,,,1
Ireland,,,6,4,1,1
Israel,,,2,4,3,3
Italy,,1,7,7,5,2
Jamaica,,,,,1,
Japan,,,,,2,
Jordan,,1,,,,
Kenya,1,,2,3,3,1
Madagascar,,,1,,,
Maldives,,,1,,,
Malta,,1,3,1,,3
Mexico,,,4,4,4,2
Morocco,,8,7,13,6,3
Nepal,,,,,1,
New Zealand,,,1,,2,
Nigeria,,,1,,,1
Pakistan,,,4,4,1,1
Peru,,,1,1,,
Philipines,,,1,,,
Poland,,,2,6,1,4
Portgual,,,,,2,
Portugal,,,8,2,5,9
Puerto Rico,,,,1,,
Qatar,,1,1,,,
Romania,,,3,,1,
Saudi Arabia,,,,1,1,
Saudia Arabia,,,,,1,
Serbia,,,3,,,
Slovakia,,,,,,1
South Africa,1,,1,1,,
Spain,3,9,21,35,33,11
Sri Lanka,,,,1,,
St Vincent and the Grenadines,,1,,,,
Switzerland,,,1,,,1
Tanzania,,1,1,2,2,1
Thailand,,,1,,1,1
Tunisia,,1,,,3,5
Turkey,3,6,24,15,36,37
UAE,,,5,3,1,3
Uganda,,,,,1,
USA,1,1,3,2,3,1
Vietnam,,,1,,,
Wales,,,,1,1,